customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,escalations,csat_score,complaint_count,churn_risk,tenure_days
1264-UDJNR,12-06-2019 00:00,Refferal,12-06-2020 00:00,Standard,Monthly,,,10.34,657,65,0,Arjun,India,Delhi,Male,22-09-1987 00:00,,,0,Medium,366
1265-XLJSS,06-02-2019 00:00,Paid,06-02-2020 00:00,Basic,Annual,,,8.59,368,15,0,Siddharth,India,Kerala,Male,03-02-1999 00:00,,,0,Low,365
1266-HZNDJ,11-10-2022 00:00,Paid,11-10-2023 00:00,Standard,Annual,,,16.31,927,50,0,Aditi,India,Delhi,Female,28-01-1974 00:00,,,0,Medium,365
1267-LPXHU,06-10-2020 00:00,Refferal,06-10-2021 00:00,Standard,Monthly,,,14.05,972,56,0,Manish,India,Nagaland,Male,05-01-1988 00:00,,,0,Medium,365
1268-DFAHD,06-09-2022 00:00,Organic,06-09-2023 00:00,Standard,Monthly,,,12.85,706,58,0,Nandini,India,Karnataka,Female,11-11-1972 00:00,,,0,Medium,365
1269-YDZPN,02-08-2024 00:00,Organic,02-08-2025 00:00,Basic,Monthly,,,7.03,623,42,0,Sakshi,India,Madhya Pradesh,Female,24-10-1979 00:00,,,0,Low,365
1270-CBRQF,11-08-2020 00:00,Organic,11-08-2021 00:00,Standard,Monthly,,,12.94,487,84,0,Ananya,India,Maharashtra,Female,22-08-2004 00:00,,,0,High,365
1271-LKAJH,24-07-2024 00:00,Paid,24-07-2025 00:00,Premium,Monthly,07-12-2024 00:00,Not enough content,20.58,1162,54,1,Mansi,India,Maharashtra,Female,14-12-1998 00:00,,,0,Medium,365
1272-ZBZUC,18-05-2022 00:00,Organic,18-05-2023 00:00,Standard,Annual,,,14.42,463,71,0,Mira,India,Meghalaya,Female,19-12-1999 00:00,,,0,High,365
1273-FUDHR,16-05-2019 00:00,Paid,16-05-2020 00:00,Premium,Monthly,,,21.58,1005,85,0,Kavya,India,Uttar Pradesh,Female,06-07-1988 00:00,,,0,High,366
1274-RMSCN,09-01-2020 00:00,Refferal,09-01-2021 00:00,Standard,Annual,06-07-2020 00:00,Forgot to cancel trial,16.33,1112,36,1,Madhav,India,Maharashtra,Male,11-03-1973 00:00,N,25,1,Low,366
1275-UPWVS,17-03-2019 00:00,Organic,17-03-2020 00:00,Basic,Annual,,,13.05,479,33,0,Mira,India,Gujarat,Female,18-02-1993 00:00,,,0,Low,366
1276-NVVPS,23-05-2021 00:00,Refferal,23-05-2022 00:00,Standard,Annual,,,17.19,858,84,0,Akash,India,Rajasthan,Male,27-02-1974 00:00,,,0,High,365
1277-TAVFW,25-08-2019 00:00,Organic,25-08-2020 00:00,Standard,Monthly,,,13.07,487,49,0,Arjun,India,Delhi,Male,03-03-1983 00:00,,,0,Low,366
1278-XBHAC,09-12-2020 00:00,Organic,09-12-2021 00:00,Premium,Monthly,,,18.97,861,38,0,Pranav,India,Karnataka,Male,22-03-1982 00:00,,,0,Low,365
1279-PCPAF,19-12-2021 00:00,Organic,19-12-2022 00:00,Basic,Annual,,,7.91,931,47,0,Raghav,India,Maharashtra,Male,24-01-2004 00:00,,,0,Low,365
1280-NKUHM,13-02-2022 00:00,Organic,13-02-2023 00:00,Basic,Annual,,,5.99,431,64,0,Manish,India,West Bengal,Male,24-09-1988 00:00,,,0,Medium,365
1281-GWEBW,13-03-2019 00:00,Organic,13-03-2020 00:00,Standard,Annual,,,13.88,713,63,0,Nandini,India,Karnataka,Female,04-11-2001 00:00,,,0,Medium,366
1282-ZJQZC,09-09-2022 00:00,Organic,09-09-2023 00:00,Basic,Monthly,,,8.83,582,53,0,Sakshi,India,Delhi,Female,13-11-1987 00:00,,,0,Medium,365
1283-ATVMA,25-09-2024 00:00,Organic,25-09-2025 00:00,Standard,Monthly,10-07-2025 00:00,Not enough content,14.63,643,99,1,Omkar,India,Uttar Pradesh,Male,10-03-1990 00:00,,,0,High,365
1284-NAUZX,28-11-2023 00:00,Organic,28-11-2024 00:00,Premium,Annual,,,19.82,683,39,0,Omkar,India,Rajasthan,Male,15-08-1994 00:00,,,0,Low,366
1285-UPMPN,20-07-2023 00:00,Organic,20-07-2024 00:00,Standard,Annual,16-06-2024 00:00,Switched to competitor,12.59,793,75,1,Sakshi,India,Telangana,Female,02-09-1980 00:00,,,0,High,366
1286-VQURK,19-05-2024 00:00,Refferal,19-05-2025 00:00,Basic,Annual,12-09-2024 00:00,Switched to competitor,6.73,595,22,1,Nandini,India,Bihar,Female,02-06-1996 00:00,N,70,2,Low,365
1287-ZKKPV,16-04-2022 00:00,Organic,16-04-2023 00:00,Standard,Annual,,,12.78,610,62,0,Siddharth,India,Delhi,Male,11-11-2002 00:00,,,0,Medium,365
1288-HPVQY,26-06-2020 00:00,Paid,26-06-2021 00:00,Basic,Annual,28-04-2021 00:00,Not enough content,5.99,749,80,1,Harsh,India,Delhi,Male,26-10-1974 00:00,,,0,High,365
1289-QLUEA,12-04-2023 00:00,Paid,12-04-2024 00:00,Standard,Monthly,,,12.64,861,50,0,Harsh,India,Rajasthan,Male,21-05-1999 00:00,,,0,Medium,366
1290-WXRWG,26-04-2019 00:00,Paid,26-04-2020 00:00,Premium,Monthly,,,21.73,1410,80,0,Pooja,India,Karnataka,Female,08-07-1985 00:00,N,50,1,High,366
1291-PRBTU,08-03-2024 00:00,Refferal,08-03-2025 00:00,Basic,Annual,,,7.6,355,23,0,Aditya,India,Delhi,Male,14-02-1989 00:00,,,0,Low,365
1292-YGXFC,06-02-2020 00:00,Organic,06-02-2021 00:00,Basic,Monthly,,,6.38,729,49,0,Meera,India,Tamil Nadu,Female,24-12-1994 00:00,,,0,Low,366
1293-SCPMF,08-11-2024 00:00,Paid,08-11-2025 00:00,Basic,Monthly,,,6.85,585,58,0,Neha,India,Nagaland,Female,01-05-1993 00:00,,,0,Medium,365
1294-NFLAZ,26-07-2024 00:00,Refferal,26-07-2025 00:00,Basic,Annual,,,10.6,513,99,0,Riya,India,Maharashtra,Female,07-05-1985 00:00,,,0,High,365
1295-WTXVV,25-01-2024 00:00,Paid,25-01-2025 00:00,Basic,Annual,,,6.91,555,69,0,Pallavi,India,Maharashtra,Female,24-10-1996 00:00,,,0,Medium,366
1296-RHBDN,27-10-2024 00:00,Organic,27-10-2025 00:00,Basic,Monthly,15-06-2025 00:00,Poor streaming quality,12.05,758,63,1,Pranav,India,Gujarat,Male,16-08-1990 00:00,,,0,Medium,365
1297-FYYRR,12-02-2020 00:00,Organic,12-02-2021 00:00,Basic,Monthly,,,9.29,803,75,0,Saurabh,India,Karnataka,Male,13-01-1980 00:00,,,0,High,366
1298-VMFEY,07-11-2024 00:00,Organic,07-11-2025 00:00,Standard,Monthly,20-04-2025 00:00,Too expensive,15.11,1017,80,1,Riya,India,West Bengal,Female,14-03-1994 00:00,,,0,High,365
1299-JSLAD,02-09-2019 00:00,Organic,02-09-2020 00:00,Basic,Annual,,,11.03,636,56,0,Shreya,India,Gujarat,Female,14-12-1994 00:00,,,0,Medium,366
1300-VTVAN,16-09-2020 00:00,Organic,16-09-2021 00:00,Premium,Annual,14-07-2021 00:00,Poor streaming quality,21.31,563,81,1,Riya,India,Bihar,Female,18-03-1993 00:00,N,50,1,High,365
1301-JLXGV,05-04-2019 00:00,Organic,05-04-2020 00:00,Basic,Monthly,30-12-2019 00:00,Poor streaming quality,8.8,468,40,1,Pallavi,India,Delhi,Female,24-06-1980 00:00,,,0,Low,366
1302-MLZPL,27-09-2024 00:00,Paid,27-09-2025 00:00,Basic,Annual,,,10.8,785,49,0,Kunal,India,Maharashtra,Male,28-04-1975 00:00,,,0,Low,365
1303-PKBUS,03-01-2020 00:00,Organic,03-01-2021 00:00,Standard,Annual,,,11,670,65,0,Aditi,India,Delhi,Female,12-07-1977 00:00,,,0,Medium,366
1304-HBQLY,09-07-2019 00:00,Refferal,09-07-2020 00:00,Basic,Annual,22-11-2019 00:00,Too expensive,12.75,679,34,1,Siddharth,India,Kerala,Male,26-06-1988 00:00,,,0,Low,366
1305-RYDHV,09-08-2022 00:00,Paid,09-08-2023 00:00,Standard,Monthly,,,14.54,769,95,0,Kritika,India,Maharashtra,Female,17-06-1976 00:00,,,0,High,365
1306-LAJMF,05-05-2022 00:00,Organic,05-05-2023 00:00,Premium,Annual,08-01-2023 00:00,Not enough content,21.6,1026,67,1,Manish,India,Telangana,Male,10-02-2003 00:00,,,0,Medium,365
1307-YNNKM,02-07-2020 00:00,Organic,02-07-2021 00:00,Basic,Annual,,,7.01,694,46,0,Nandini,India,Karnataka,Female,01-09-1975 00:00,,,0,Low,365
1308-QGZWE,04-07-2019 00:00,Organic,04-07-2020 00:00,Basic,Annual,,,5.99,382,45,0,Aditya,India,West Bengal,Male,04-11-1986 00:00,,,0,Low,366
1309-THVQS,16-04-2019 00:00,Organic,16-04-2020 00:00,Standard,Annual,,,16.62,843,12,0,Riya,India,Maharashtra,Female,07-01-1978 00:00,,,0,Low,366
1310-HMMAD,27-10-2021 00:00,Organic,27-10-2022 00:00,Premium,Monthly,,,21.82,1082,98,0,Saurabh,India,Bihar,Male,28-01-2000 00:00,,,0,High,365
1311-WTQPG,11-10-2022 00:00,Paid,11-10-2023 00:00,Standard,Monthly,,,12.77,276,99,0,Shreya,India,Rajasthan,Female,23-04-2001 00:00,,,0,High,365
1312-RLLDT,23-12-2021 00:00,Refferal,23-12-2022 00:00,Standard,Monthly,,,9.15,446,66,0,Nandini,India,Rajasthan,Female,19-04-2002 00:00,,,0,Medium,365
1313-ZDESC,07-04-2021 00:00,Organic,07-04-2022 00:00,Standard,Annual,27-07-2021 00:00,Too expensive,11.74,812,64,1,Neha,India,Maharashtra,Female,16-10-1980 00:00,,,0,Medium,365
1314-ABLQC,20-09-2024 00:00,Refferal,20-09-2025 00:00,Standard,Annual,,,12.75,823,18,0,Manish,India,Karnataka,Male,25-06-1991 00:00,,,0,Low,365
1315-CCQUY,24-08-2023 00:00,Organic,24-08-2024 00:00,Premium,Monthly,,,22.42,1051,59,0,Aniket,India,Maharashtra,Male,12-04-1977 00:00,,,0,Medium,366
1316-ZUAWM,14-09-2020 00:00,Organic,14-09-2021 00:00,Premium,Monthly,,,18.64,957,26,0,Pallavi,India,Maharashtra,Female,23-06-1987 00:00,,,0,Low,365
1317-NSYLU,05-11-2024 00:00,Paid,05-11-2025 00:00,Premium,Monthly,,,20.89,984,70,0,Aditya,India,Delhi,Male,14-03-1995 00:00,,,0,High,365
1318-HKSPH,18-04-2024 00:00,Organic,18-04-2025 00:00,Standard,Annual,,,14.76,1141,19,0,Nandini,India,Maharashtra,Female,20-09-1987 00:00,,,0,Low,365
1319-UXCNK,01-03-2024 00:00,Paid,01-03-2025 00:00,Basic,Annual,02-09-2024 00:00,Poor streaming quality,7.81,710,70,1,Aniket,India,Bihar,Male,03-04-1988 00:00,N,90,1,High,365
1320-CUYLP,10-05-2021 00:00,Paid,10-05-2022 00:00,Standard,Annual,19-12-2021 00:00,Forgot to cancel trial,14.99,937,64,1,Saurabh,India,Delhi,Male,19-12-1985 00:00,Y,60,1,Medium,365
1321-CTVBB,16-10-2021 00:00,Paid,16-10-2022 00:00,Standard,Annual,,,15.4,904,81,0,Manish,India,Karnataka,Male,22-06-1974 00:00,,,0,High,365
1322-DNMLZ,04-07-2023 00:00,Organic,04-07-2024 00:00,Basic,Monthly,09-02-2024 00:00,Not enough content,9.55,986,47,1,Siddharth,India,Rajasthan,Male,06-12-1972 00:00,,,0,Low,366
1323-MUDQB,16-07-2019 00:00,Refferal,16-07-2020 00:00,Standard,Monthly,,,12.5,658,97,0,Riya,India,Karnataka,Female,04-01-2001 00:00,,,0,High,366
1324-QUNML,11-07-2020 00:00,Refferal,11-07-2021 00:00,Standard,Annual,,,10.84,550,50,0,Neha,India,Kerala,Female,26-02-1990 00:00,,,0,Medium,365
1325-SPVSP,01-09-2022 00:00,Organic,01-09-2023 00:00,Basic,Annual,14-01-2023 00:00,Too expensive,9.84,612,26,1,Varun,India,Maharashtra,Male,25-10-2004 00:00,,,0,Low,365
1326-PCNHQ,04-02-2021 00:00,Organic,04-02-2022 00:00,Premium,Monthly,20-04-2021 00:00,Too expensive,16.83,271,51,1,Aditi,India,Delhi,Female,01-07-1981 00:00,,,0,Medium,365
1327-EQHAB,25-04-2020 00:00,Paid,25-04-2021 00:00,Standard,Monthly,,,10.51,898,76,0,Kavya,India,Delhi,Female,09-06-1996 00:00,,,0,High,365
1328-HPBAR,15-07-2023 00:00,Organic,15-07-2024 00:00,Basic,Annual,,,8.93,525,19,0,Madhav,India,Telangana,Male,25-04-1976 00:00,,,0,Low,366
1329-UNLXL,09-10-2021 00:00,Organic,09-10-2022 00:00,Premium,Monthly,,,20.98,1254,35,0,Saurabh,India,Goa,Male,06-11-1988 00:00,,,0,Low,365
1330-BTPHK,21-06-2024 00:00,Organic,21-06-2025 00:00,Basic,Annual,,,9.92,746,36,0,Kunal,India,Gujarat,Male,07-07-1987 00:00,,,0,Low,365
1331-MQASR,26-02-2023 00:00,Paid,26-02-2024 00:00,Premium,Annual,,,21.45,1102,10,0,Pranav,India,Rajasthan,Male,06-11-1970 00:00,,,0,Low,365
1332-CZKQK,12-12-2024 00:00,Paid,12-12-2025 00:00,Basic,Annual,,,6.49,390,21,0,Vivek,India,Rajasthan,Male,01-08-1982 00:00,,,0,Low,365
1333-ZAMSQ,07-09-2020 00:00,Paid,07-09-2021 00:00,Standard,Monthly,,,17.94,501,73,0,Siddharth,India,Bihar,Male,28-02-1995 00:00,Y,40,1,High,365
1334-TGWAZ,04-05-2022 00:00,Organic,04-05-2023 00:00,Standard,Monthly,,,15.25,1100,88,0,Mansi,India,Kerala,Female,21-07-1970 00:00,,,0,High,365
1335-GLLAE,10-06-2020 00:00,Organic,10-06-2021 00:00,Basic,Annual,,,8.12,553,27,0,Harsh,India,Tamil Nadu,Male,14-12-1984 00:00,,,0,Low,365
1336-YWFMZ,19-08-2024 00:00,Refferal,19-08-2025 00:00,Basic,Annual,,,8.86,784,62,0,Nikhil,India,Telangana,Male,25-02-1985 00:00,,,0,Medium,365
1337-UBVBQ,25-10-2019 00:00,Paid,25-10-2020 00:00,Standard,Annual,,,16.3,1003,38,0,Sneha,India,Maharashtra,Female,02-09-1973 00:00,,,0,Low,366
1338-LQCRS,21-03-2023 00:00,Paid,21-03-2024 00:00,Standard,Monthly,,,14.42,473,99,0,Saurabh,India,Telangana,Male,04-02-1982 00:00,N,70,1,High,366
1339-ZUHXU,17-04-2019 00:00,Organic,17-04-2020 00:00,Premium,Monthly,27-08-2019 00:00,Too expensive,24.81,1139,66,1,Manish,India,Delhi,Male,12-05-1991 00:00,,,0,Medium,366
1340-SSZQH,21-01-2020 00:00,Paid,21-01-2021 00:00,Basic,Monthly,07-08-2020 00:00,Poor streaming quality,6.93,523,45,1,Kritika,India,Delhi,Female,04-03-1991 00:00,N,60,4,Low,366
1341-FGEWF,10-04-2021 00:00,Organic,10-04-2022 00:00,Standard,Monthly,03-02-2022 00:00,Forgot to cancel trial,15.14,923,42,1,Aarav,India,Karnataka,Male,01-02-1986 00:00,,,0,Low,365
1342-BDYVE,08-06-2020 00:00,Refferal,08-06-2021 00:00,Basic,Annual,,,12.7,938,81,0,Nandini,India,Delhi,Female,08-11-1997 00:00,,,0,High,365
1343-FBMRB,16-08-2024 00:00,Refferal,16-08-2025 00:00,Basic,Monthly,,,8.07,540,52,0,Pallavi,India,Nagaland,Female,06-08-2003 00:00,,,0,Medium,365
1344-EWKHX,08-06-2023 00:00,Paid,08-06-2024 00:00,Standard,Monthly,,,11.74,340,53,0,Yash,India,Karnataka,Male,25-03-1975 00:00,,,0,Medium,366
1345-VHKEF,04-02-2020 00:00,Organic,04-02-2021 00:00,Basic,Monthly,20-08-2020 00:00,Not enough content,8.87,427,64,1,Yash,India,Madhya Pradesh,Male,17-09-1988 00:00,,,0,Medium,366
1346-SGSZZ,17-11-2022 00:00,Refferal,17-11-2023 00:00,Premium,Annual,,,24.45,934,25,0,Aditi,India,West Bengal,Female,26-06-1988 00:00,,,0,Low,365
1347-FQPMV,01-09-2022 00:00,Organic,01-09-2023 00:00,Standard,Monthly,,,14.48,825,80,0,Sneha,India,Delhi,Female,25-07-1982 00:00,,,0,High,365
1348-WJLSK,03-07-2020 00:00,Organic,03-07-2021 00:00,Standard,Monthly,,,12.98,664,80,0,Meera,India,Uttar Pradesh,Female,05-03-1972 00:00,,,0,High,365
1349-CCPAS,03-09-2024 00:00,Organic,03-09-2025 00:00,Standard,Monthly,01-05-2025 00:00,Poor streaming quality,13.61,686,76,1,Aditi,India,Karnataka,Female,10-07-1974 00:00,N,70,1,High,365
1350-DELTM,20-07-2019 00:00,Refferal,20-07-2020 00:00,Premium,Monthly,,,17.52,1053,95,0,Avni,India,Karnataka,Female,07-05-1999 00:00,,,0,High,366
1351-TGXLS,06-11-2022 00:00,Paid,06-11-2023 00:00,Standard,Monthly,24-02-2023 00:00,Not enough content,12.61,912,68,1,Shreya,India,Uttar Pradesh,Female,08-07-1981 00:00,,,0,Medium,365
1352-RBTXX,06-08-2022 00:00,Organic,06-08-2023 00:00,Basic,Monthly,29-04-2023 00:00,Poor streaming quality,8.56,396,37,1,Mansi,India,Maharashtra,Female,25-02-1993 00:00,,,0,Low,365
1353-EAGTD,27-05-2022 00:00,Paid,27-05-2023 00:00,Basic,Annual,28-08-2022 00:00,Forgot to cancel trial,7.93,693,71,1,Sakshi,India,Rajasthan,Female,22-09-1975 00:00,N,20,2,High,365
1354-NLBRN,12-04-2020 00:00,Organic,12-04-2021 00:00,Premium,Monthly,19-05-2020 00:00,Not enough content,20.17,586,79,1,Omkar,India,Gujarat,Male,20-01-1998 00:00,,,0,High,365
1355-BZCWR,14-07-2023 00:00,Organic,14-07-2024 00:00,Basic,Monthly,,,10.52,519,9,0,Rohan,India,Meghalaya,Male,11-06-1976 00:00,,,0,Low,366
1356-KMBVR,26-09-2024 00:00,Organic,26-09-2025 00:00,Premium,Annual,,,18.53,1120,24,0,Priya,India,Maharashtra,Female,10-07-1983 00:00,,,0,Low,365
1357-SSZSH,23-10-2023 00:00,Paid,23-10-2024 00:00,Premium,Monthly,,,19.96,776,72,0,Sakshi,India,Maharashtra,Female,19-10-1971 00:00,,,0,High,366
1358-UQBJH,11-05-2020 00:00,Paid,11-05-2021 00:00,Standard,Annual,,,15.04,587,52,0,Omkar,India,Karnataka,Male,24-04-1972 00:00,,,0,Medium,365
1359-AWHFN,03-08-2019 00:00,Refferal,03-08-2020 00:00,Premium,Monthly,,,23.18,455,50,0,Arjun,India,Uttar Pradesh,Male,11-09-1994 00:00,,,0,Medium,366
1360-PVENL,15-10-2021 00:00,Refferal,15-10-2022 00:00,Premium,Monthly,17-05-2022 00:00,Poor streaming quality,20.05,981,96,1,Riya,India,Maharashtra,Female,14-04-1982 00:00,,,0,High,365
1361-LQLDY,06-12-2023 00:00,Organic,06-12-2024 00:00,Basic,Monthly,,,7.22,482,41,0,Aditi,India,West Bengal,Female,25-02-1997 00:00,,,0,Low,366
1362-DMDEA,19-11-2021 00:00,Refferal,19-11-2022 00:00,Basic,Annual,04-10-2022 00:00,Too expensive,12.56,639,50,1,Sakshi,India,Meghalaya,Female,24-07-1996 00:00,,,0,Medium,365
1363-GXTNM,23-11-2021 00:00,Paid,23-11-2022 00:00,Standard,Annual,13-08-2022 00:00,Too expensive,16.26,621,56,1,Priya,India,Uttar Pradesh,Female,08-12-1997 00:00,,,0,Medium,365
1364-YWAUR,10-12-2021 00:00,Refferal,10-12-2022 00:00,Standard,Monthly,,,13.56,795,54,0,Shreya,India,Gujarat,Female,07-09-1975 00:00,,,0,Medium,365
1365-YWCPV,03-02-2019 00:00,Organic,03-02-2020 00:00,Premium,Monthly,11-10-2019 00:00,Too expensive,22.59,890,63,1,Madhav,India,West Bengal,Male,10-12-1995 00:00,N,25,1,Medium,365
1366-PFETV,03-05-2019 00:00,Organic,03-05-2020 00:00,Standard,Monthly,,,13.81,345,57,0,Madhav,India,Bihar,Male,21-08-1996 00:00,,,0,Medium,366
1367-CBUAP,20-06-2022 00:00,Refferal,20-06-2023 00:00,Standard,Monthly,,,16.01,1112,63,0,Vivek,India,Karnataka,Male,20-07-1970 00:00,,,0,Medium,365
1368-RKBJH,23-05-2023 00:00,Organic,23-05-2024 00:00,Premium,Monthly,,,14.62,876,99,0,Aarav,India,Rajasthan,Male,27-12-1995 00:00,,,0,High,366
1369-RARYH,26-10-2024 00:00,Refferal,26-10-2025 00:00,Basic,Monthly,,,10.43,876,26,0,Priya,India,Bihar,Female,15-11-1990 00:00,,,0,Low,365
1370-XTHED,16-02-2022 00:00,Organic,16-02-2023 00:00,Standard,Monthly,,,11.67,1051,41,0,Kunal,India,Rajasthan,Male,27-05-1975 00:00,,,0,Low,365
1371-LTDYX,11-12-2019 00:00,Paid,11-12-2020 00:00,Premium,Annual,,,20.57,1163,62,0,Isha,India,Gujarat,Female,04-11-2000 00:00,,,0,Medium,366
1372-TTKRP,07-10-2024 00:00,Organic,07-10-2025 00:00,Standard,Monthly,,,15.08,1024,59,0,Isha,India,Karnataka,Female,03-05-1977 00:00,,,0,Medium,365
1373-ABNWZ,18-01-2022 00:00,Paid,18-01-2023 00:00,Premium,Monthly,09-06-2022 00:00,Poor streaming quality,26.28,1266,63,1,Nandini,India,Tamil Nadu,Female,22-09-1978 00:00,Y,20,1,Medium,365
1374-HNSGW,23-04-2024 00:00,Paid,23-04-2025 00:00,Standard,Annual,,,16.3,1114,76,0,Ananya,India,Rajasthan,Female,26-01-1994 00:00,,,0,High,365
1375-VXDAK,23-04-2024 00:00,Organic,23-04-2025 00:00,Premium,Monthly,,,22.4,1320,35,0,Sakshi,India,Bihar,Female,03-07-1995 00:00,,,0,Low,365
1376-WTLDD,04-10-2024 00:00,Organic,04-10-2025 00:00,Standard,Annual,,,11.47,483,54,0,Riya,India,Madhya Pradesh,Female,26-04-1983 00:00,,,0,Medium,365
1377-YCZEB,13-04-2019 00:00,Refferal,13-04-2020 00:00,Standard,Annual,,,13.85,722,55,0,Avni,India,Rajasthan,Female,24-11-1979 00:00,,,0,Medium,366
1378-VRUWR,19-10-2019 00:00,Paid,19-10-2020 00:00,Premium,Monthly,16-09-2020 00:00,Too expensive,21.92,963,99,1,Tanvi,India,Nagaland,Female,03-02-1977 00:00,,,0,High,366
1379-SHDHT,27-09-2019 00:00,Paid,27-09-2020 00:00,Standard,Annual,10-02-2020 00:00,Switched to competitor,13.45,789,73,1,Omkar,India,Tamil Nadu,Male,18-07-1971 00:00,,,0,High,366
1380-EPVCD,06-09-2021 00:00,Organic,06-09-2022 00:00,Standard,Annual,28-06-2022 00:00,Not enough content,11.29,819,61,1,Rahul,India,Maharashtra,Male,03-01-1986 00:00,,,0,Medium,365
1381-PSNZJ,20-03-2020 00:00,Organic,20-03-2021 00:00,Standard,Annual,,,13.34,642,79,0,Vivek,India,Uttar Pradesh,Male,02-04-1972 00:00,,,0,High,365
1382-GRDLY,21-11-2023 00:00,Organic,21-11-2024 00:00,Premium,Annual,30-07-2024 00:00,Poor streaming quality,21.27,638,50,1,Neha,India,Telangana,Female,24-11-1974 00:00,,,0,Medium,366
1383-BCCPB,08-07-2019 00:00,Refferal,08-07-2020 00:00,Standard,Monthly,10-01-2020 00:00,Forgot to cancel trial,11.58,1046,22,1,Yash,India,Madhya Pradesh,Male,28-03-1987 00:00,,,0,Low,366
1384-NSWPQ,09-03-2023 00:00,Organic,09-03-2024 00:00,Basic,Monthly,18-10-2023 00:00,Forgot to cancel trial,6.13,140,27,1,Rahul,India,Delhi,Male,12-03-1994 00:00,N,80,2,Low,366
1385-LJMGY,08-12-2019 00:00,Organic,08-12-2020 00:00,Premium,Monthly,,,19.58,1215,31,0,Raghav,India,Uttar Pradesh,Male,14-05-1975 00:00,,,0,Low,366
1386-WZLNT,23-01-2024 00:00,Organic,23-01-2025 00:00,Standard,Monthly,,,16.21,1270,40,0,Sakshi,India,Telangana,Female,04-12-2004 00:00,,,0,Low,366
1387-ZYSBL,16-07-2019 00:00,Organic,16-07-2020 00:00,Standard,Monthly,,,16.15,213,48,0,Aniket,India,Madhya Pradesh,Male,12-02-1981 00:00,,,0,Low,366
1388-UCHHF,20-01-2021 00:00,Organic,20-01-2022 00:00,Standard,Monthly,,,19.03,702,24,0,Ananya,India,Madhya Pradesh,Female,15-01-2002 00:00,,,0,Low,365
1389-ALENX,10-06-2022 00:00,Paid,10-06-2023 00:00,Standard,Annual,19-02-2023 00:00,Poor streaming quality,16.24,872,99,1,Kavya,India,Madhya Pradesh,Female,25-03-1970 00:00,,,0,High,365
1390-LJWEE,16-07-2019 00:00,Paid,16-07-2020 00:00,Standard,Annual,,,15.23,1031,64,0,Kunal,India,Meghalaya,Male,06-01-1991 00:00,,,0,Medium,366
1391-NYWKC,24-10-2022 00:00,Organic,24-10-2023 00:00,Basic,Monthly,30-06-2023 00:00,Too expensive,9.66,643,56,1,Aarav,India,Maharashtra,Male,01-09-1992 00:00,,,0,Medium,365
1392-EGCGS,21-11-2023 00:00,Organic,21-11-2024 00:00,Basic,Monthly,,,7.85,412,32,0,Ananya,India,Rajasthan,Female,24-12-1976 00:00,,,0,Low,366
1393-AEWKN,12-05-2019 00:00,Organic,12-05-2020 00:00,Basic,Monthly,,,5.99,220,47,0,Arjun,India,Delhi,Male,17-01-2000 00:00,N,80,1,Low,366
1394-XCEYJ,24-06-2024 00:00,Organic,24-06-2025 00:00,Premium,Monthly,,,18.56,946,66,0,Kavya,India,Maharashtra,Female,18-11-1970 00:00,,,0,Medium,365
1395-XDTCQ,25-08-2024 00:00,Organic,25-08-2025 00:00,Basic,Annual,,,10.01,437,5,0,Siddharth,India,Gujarat,Male,18-02-1976 00:00,,,0,Low,365
1396-XWXZX,09-10-2020 00:00,Organic,09-10-2021 00:00,Standard,Monthly,,,16.06,883,33,0,Kavya,India,Madhya Pradesh,Female,14-08-1974 00:00,,,0,Low,365
1397-TKSWZ,01-03-2020 00:00,Paid,01-03-2021 00:00,Basic,Monthly,,,9.2,675,30,0,Saurabh,India,West Bengal,Male,25-09-1994 00:00,,,0,Low,365
1398-SNHFS,28-05-2020 00:00,Organic,28-05-2021 00:00,Premium,Annual,,,18.06,918,40,0,Rahul,India,Karnataka,Male,10-04-2004 00:00,Y,60,1,Low,365
1399-YXGDX,22-09-2019 00:00,Paid,22-09-2020 00:00,Premium,Annual,04-05-2020 00:00,Not enough content,17.49,1015,67,1,Meera,India,Bihar,Female,08-06-1970 00:00,,,0,Medium,366
1400-PVFGP,06-08-2020 00:00,Paid,06-08-2021 00:00,Premium,Monthly,,,22.21,999,70,0,Neha,India,Rajasthan,Female,05-06-1997 00:00,,,0,High,365
1401-HXVSE,20-01-2024 00:00,Organic,20-01-2025 00:00,Basic,Monthly,12-03-2024 00:00,Too expensive,8.27,508,40,1,Aditya,India,Meghalaya,Male,13-11-1999 00:00,N,20,1,Low,366
1402-PVWCD,04-09-2024 00:00,Paid,04-09-2025 00:00,Basic,Monthly,04-05-2025 00:00,Too expensive,9.19,445,54,1,Pooja,India,Delhi,Female,08-03-2000 00:00,,,0,Medium,365
1403-FKJGY,04-06-2023 00:00,Organic,04-06-2024 00:00,Standard,Annual,19-09-2023 00:00,Too expensive,12.45,394,32,1,Kavya,India,Rajasthan,Female,04-04-1977 00:00,,,0,Low,366
1404-ELXSQ,25-03-2019 00:00,Organic,25-03-2020 00:00,Standard,Monthly,,,17.84,863,27,0,Nandini,India,Kerala,Female,22-08-1987 00:00,,,0,Low,366
